date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:36	29074/29074	---MCZ	200	added ('OK')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/home_3	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/home_3.html	(from )
16:07:37	1447/1447	---M-Z	404	error ('Not%20Found')	text/html	etag:1585567532-ssl-df	https://digikit.netlify.app/robots.txt		(from )
16:07:37	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1585567532-ssl-df	https://digikit.netlify.app/assets/img/logos/fav.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/img/logos/fav.png	(from https://digikit.netlify.app/pages/home_3)
16:07:38	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%2253e218abe72a95524de9ec3e213582ea-ssl-df%22	https://digikit.netlify.app/assets/css/bootstrap.min.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/bootstrap.min.css	(from https://digikit.netlify.app/pages/home_3)
16:07:38	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22873d102310523db811ebc62724307bfc-ssl-df%22	https://digikit.netlify.app/assets/css/owl.carousel.min.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/owl.carousel.min.css	(from https://digikit.netlify.app/pages/home_3)
16:07:39	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1585567532-ssl-df	https://digikit.netlify.app/assets/css/owl.theme.default.min.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/owl.theme.default.min.css	(from https://digikit.netlify.app/pages/home_3)
16:07:39	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%22eb1c5c1c3db37a5348ac2804b5708c72-ssl-df%22	https://digikit.netlify.app/assets/css/slick.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/slick.css	(from https://digikit.netlify.app/pages/home_3)
16:07:39	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22ba19f4741bc38cb904b64a9e8b147312-ssl-df%22	https://digikit.netlify.app/assets/css/slick-theme.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/slick-theme.css	(from https://digikit.netlify.app/pages/home_3)
16:07:39	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%22ee61feff93cef5568ebb39efb2ebe3a1-ssl-df%22	https://digikit.netlify.app/assets/css/aos.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/aos.css	(from https://digikit.netlify.app/pages/home_3)
16:07:40	56520/56520	---M-Z	200	added ('OK')	text/css	etag:%2282aa1671dab35c4900e3975126aee6fd-ssl-df%22	https://digikit.netlify.app/assets/css/all.min.css	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/css/all.min.css	(from https://digikit.netlify.app/pages/home_3)
